time 	 LH 	 RH
7691	 7691	 7691 
005.040	72.0402	27.9598	
005.102	71.7841	28.2159	
005.162	71.5742	28.4258	
005.226	71.6272	28.3728	
005.293	71.5583	28.4417	
005.350	71.3110	28.6890	
005.414	70.8304	29.1696	
005.479	70.5069	29.4931	
005.542	70.3896	29.6105	
005.602	70.4256	29.5744	
005.661	70.5566	29.4434	
005.726	70.6585	29.3415	
005.794	70.5557	29.4443	
005.851	70.5610	29.4390	
005.915	70.5638	29.4362	
005.979	70.3732	29.6268	
006.043	70.2366	29.7634	
006.102	70.2880	29.7120	
006.163	70.4301	29.5699	
006.225	70.7170	29.2830	
006.294	71.0394	28.9606	
006.350	71.4822	28.5178	
006.414	72.0658	27.9342	
006.479	72.7440	27.2560	
006.542	73.4028	26.5972	
006.596	74.0821	25.9179	
006.658	74.8433	25.1567	
006.726	75.6125	24.3875	
006.794	76.4302	23.5698	
006.850	77.1979	22.8021	
006.914	77.9035	22.0965	
006.979	78.6509	21.3491	
007.043	79.3600	20.6400	
7692	 7692	 7692 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.024	50.0000	50.0000	
000.026	50.7976	49.2024	
000.093	51.4263	48.5737	
000.159	52.1798	47.8202	
000.219	53.1108	46.8892	
000.284	53.9164	46.0836	
000.344	54.6868	45.3132	
000.408	55.2386	44.7614	
000.476	55.3786	44.6214	
000.532	55.3410	44.6590	
000.597	55.1546	44.8454	
000.661	54.7654	45.2346	
000.725	54.3071	45.6929	
000.785	53.9255	46.0745	
000.846	53.5443	46.4557	
000.909	52.9690	47.0310	
000.977	52.5328	47.4672	
001.033	52.1741	47.8259	
001.097	51.9634	48.0366	
001.154	51.9692	48.0308	
001.225	52.2846	47.7154	
001.284	52.2394	47.7606	
001.344	52.1496	47.8505	
001.413	51.9739	48.0261	
001.477	52.1170	47.8830	
001.532	52.2349	47.7651	
001.597	52.2109	47.7891	
001.653	52.2148	47.7852	
001.724	52.2412	47.7588	
001.786	52.2240	47.7760	
001.843	52.4207	47.5793	
001.912	52.7860	47.2140	
001.976	53.2749	46.7251	
002.032	53.7516	46.2484	
002.096	54.1961	45.8039	
002.160	54.5175	45.4825	
002.225	54.5616	45.4384	
002.285	55.1504	44.8496	
002.344	55.9802	44.0198	
002.413	56.9314	43.0686	
002.476	57.5740	42.4260	
002.533	58.1571	41.8429	
002.597	58.8966	41.1034	
002.660	59.6769	40.3231	
002.725	60.2512	39.7488	
002.784	60.9201	39.0799	
002.844	61.4326	38.5674	
002.912	61.8216	38.1784	
002.975	61.8099	38.1901	
003.031	61.7050	38.2950	
003.096	61.5724	38.4276	
003.159	61.6738	38.3262	
003.224	61.8651	38.1349	
003.284	61.8544	38.1456	
003.344	61.8424	38.1576	
003.412	61.8968	38.1032	
003.476	62.3013	37.6987	
003.532	62.9262	37.0738	
003.597	63.8157	36.1843	
003.660	64.9236	35.0764	
003.725	66.1127	33.8873	
003.785	67.2769	32.7231	
003.844	68.4921	31.5079	
003.912	69.7304	30.2696	
003.976	70.9324	29.0676	
004.032	72.0525	27.9475	
004.095	73.1134	26.8866	
004.160	74.0036	25.9963	
004.224	74.7518	25.2482	
004.285	75.4049	24.5951	
004.344	76.0037	23.9963	
004.412	76.4720	23.5280	
004.477	76.9825	23.0175	
004.532	77.3321	22.6679	
004.597	77.4943	22.5057	
004.661	77.4734	22.5266	
004.725	77.1112	22.8888	
004.785	76.6820	23.3180	
004.844	75.9981	24.0019	
004.912	74.9234	25.0766	
004.976	74.3569	25.6431	
005.032	73.9470	26.0530	
005.096	73.6633	26.3367	
005.160	73.3907	26.6093	
005.225	73.1971	26.8029	
005.284	73.1274	26.8726	
005.344	73.2774	26.7226	
005.412	73.3943	26.6057	
005.477	73.6601	26.3399	
005.533	73.7890	26.2110	
005.597	73.9782	26.0218	
005.660	74.2271	25.7729	
005.725	74.5294	25.4706	
005.784	75.0302	24.9698	
005.844	75.6321	24.3679	
005.913	76.2346	23.7654	
005.976	76.7448	23.2552	
006.032	77.2105	22.7895	
006.096	77.6256	22.3744	
006.160	77.9484	22.0516	
006.224	78.0169	21.9831	
006.283	78.0381	21.9619	
006.343	77.8430	22.1570	
006.412	77.4737	22.5263	
006.469	76.9343	23.0657	
006.525	76.5746	23.4254	
006.589	76.1434	23.8566	
006.653	76.0526	23.9474	
006.717	76.1838	23.8162	
006.777	76.1503	23.8497	
006.843	75.9988	24.0012	
006.913	75.7468	24.2532	
006.977	75.1154	24.8846	
007.032	74.5727	25.4273	
7692	 7692	 7692 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.056	50.0000	50.0000	
000.062	50.8880	49.1120	
000.115	51.6355	48.3645	
000.179	52.1868	47.8132	
000.242	52.5867	47.4133	
000.306	52.8291	47.1709	
000.366	52.9289	47.0711	
000.432	52.8942	47.1058	
000.495	53.0619	46.9381	
000.551	53.3606	46.6394	
000.614	53.8567	46.1433	
000.680	54.5250	45.4750	
000.744	55.3977	44.6023	
000.807	56.5028	43.4972	
000.867	57.6032	42.3968	
000.930	58.6357	41.3643	
000.994	59.6758	40.3242	
001.059	60.6872	39.3128	
001.115	61.7975	38.2025	
001.178	62.9571	37.0429	
001.242	64.1664	35.8336	
001.308	65.3121	34.6879	
001.366	66.3920	33.6080	
001.431	67.5971	32.4029	
001.495	68.7067	31.2933	
001.558	69.7395	30.2605	
001.615	70.6157	29.3843	
001.678	71.4949	28.5051	
001.742	72.2747	27.7253	
001.806	72.9080	27.0920	
001.866	73.4162	26.5838	
001.931	73.6592	26.3408	
001.993	73.9299	26.0701	
002.057	74.3448	25.6552	
002.116	74.8402	25.1598	
002.179	75.3143	24.6857	
002.242	75.7923	24.2077	
002.307	76.3612	23.6388	
002.368	76.8654	23.1346	
002.431	77.3508	22.6492	
002.495	77.7688	22.2312	
002.558	78.1059	21.8941	
002.614	78.4498	21.5502	
002.678	78.8780	21.1220	
002.742	79.3360	20.6640	
002.807	79.8106	20.1894	
002.867	80.1610	19.8390	
7693	 7693	 7693 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.031	50.0000	50.0000	
000.037	51.1610	48.8390	
000.098	52.2698	47.7302	
000.162	53.3159	46.6841	
000.226	54.3012	45.6988	
000.283	55.4025	44.5975	
000.348	56.4504	43.5496	
000.412	57.3889	42.6111	
000.476	58.1495	41.8505	
000.536	58.2861	41.7139	
000.592	58.1080	41.8920	
000.662	58.1861	41.8139	
000.726	57.8420	42.1580	
000.783	57.3306	42.6694	
000.847	56.1702	43.8298	
000.910	54.7915	45.2085	
000.975	53.2797	46.7203	
001.034	51.5860	48.4140	
001.101	49.6643	50.3357	
001.163	47.6444	52.3556	
001.227	45.7066	54.2934	
001.282	43.9314	56.0686	
001.339	42.3496	57.6504	
001.403	40.7548	59.2452	
001.467	39.1098	60.8902	
001.528	37.6288	62.3712	
001.591	36.1521	63.8479	
001.662	34.7610	65.2390	
001.726	33.4302	66.5698	
001.782	32.2029	67.7971	
001.846	31.0439	68.9561	
001.911	29.9154	70.0846	
001.975	28.8717	71.1282	
002.036	27.8315	72.1685	
002.099	26.8195	73.1805	
002.162	25.8930	74.1070	
002.226	25.0408	74.9592	
002.282	24.1738	75.8262	
002.346	23.3564	76.6436	
002.411	22.6519	77.3481	
002.474	22.1533	77.8467	
002.536	21.8931	78.1069	
002.599	21.7695	78.2305	
002.664	21.7275	78.2725	
002.727	21.5910	78.4090	
002.782	21.3292	78.6708	
002.847	20.9870	79.0130	
002.911	20.6850	79.3150	
002.975	20.3602	79.6398	
003.035	20.0853	79.9147	
003.099	19.6423	80.3577	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.034	50.0000	50.0000	
000.037	51.6692	48.3308	
000.103	53.2636	46.7364	
000.166	54.6747	45.3253	
000.230	56.1305	43.8695	
000.294	57.4956	42.5044	
000.357	58.6301	41.3699	
000.418	59.8291	40.1709	
000.477	60.8196	39.1804	
000.542	61.4930	38.5070	
000.605	61.9929	38.0071	
000.666	62.2562	37.7438	
000.730	62.4947	37.5053	
000.794	62.4903	37.5097	
000.858	62.2313	37.7687	
000.919	61.8610	38.1390	
000.978	61.3768	38.6232	
001.035	60.3737	39.6264	
001.099	59.2838	40.7162	
001.159	58.1237	41.8763	
001.230	57.0798	42.9202	
001.294	56.0870	43.9130	
001.358	54.8120	45.1880	
001.418	53.0881	46.9119	
001.478	51.4478	48.5522	
001.543	49.8035	50.1965	
001.601	48.2488	51.7512	
001.666	46.8638	53.1362	
001.731	45.6347	54.3653	
001.794	44.3280	55.6720	
001.858	43.1481	56.8519	
001.918	42.2987	57.7013	
001.971	41.4547	58.5452	
002.035	40.8022	59.1978	
002.099	40.1421	59.8579	
002.159	39.4487	60.5513	
002.223	38.7720	61.2280	
002.287	37.9580	62.0420	
002.351	37.1745	62.8255	
002.411	36.5881	63.4119	
002.471	35.9408	64.0592	
002.542	35.6912	64.3088	
002.607	35.4483	64.5517	
002.668	35.5046	64.4954	
002.731	35.7916	64.2084	
002.795	36.3474	63.6526	
002.859	37.1044	62.8956	
002.917	38.0091	61.9909	
002.978	39.6529	60.3471	
003.042	41.2584	58.7416	
003.107	42.8122	57.1878	
003.166	44.2950	55.7050	
003.230	45.9422	54.0578	
003.294	47.3732	52.6268	
003.359	48.7093	51.2907	
003.418	49.7782	50.2218	
003.478	50.5520	49.4480	
003.543	51.1189	48.8811	
003.605	51.2889	48.7111	
003.667	50.8109	49.1891	
003.731	49.5835	50.4165	
003.795	48.0934	51.9066	
003.858	46.4157	53.5843	
003.918	44.7450	55.2550	
003.978	42.9674	57.0326	
004.041	41.2736	58.7264	
004.106	39.5905	60.4095	
004.166	38.0360	61.9640	
004.230	36.6232	63.3768	
004.294	35.5154	64.4846	
004.358	34.5075	65.4925	
004.418	33.5518	66.4482	
004.478	32.8092	67.1908	
004.541	31.9960	68.0040	
004.607	31.1822	68.8178	
004.666	30.4935	69.5065	
